"verbatimFieldName","standardFieldName","namespace","uri","checked","source","comment","opinionBy","opinionDate"
"dwc:reproductivecondition","reproductiveCondition","dwc","http://rs.tdwg.org/dwc/terms/reproductiveCondition",1,,,"John Wieczorek","2017-08-25"
"dwc:samplesizeunit","sampleSizeUnit","dwc","http://rs.tdwg.org/dwc/terms/sampleSizeUnit",1,,,"John Wieczorek","2017-08-25"
"dwc:samplesizevalue","sampleSizeValue","dwc","http://rs.tdwg.org/dwc/terms/sampleSizeValue",1,,,"John Wieczorek","2017-08-25"
"dwc:samplingeffort","samplingEffort","dwc","http://rs.tdwg.org/dwc/terms/samplingEffort",1,,,"John Wieczorek","2017-08-25"
"dwc:samplingprotocol","samplingProtocol","dwc","http://rs.tdwg.org/dwc/terms/samplingProtocol",1,,,"John Wieczorek","2017-08-25"
"dwc:scientificname","scientificName","dwc","http://rs.tdwg.org/dwc/terms/scientificName",1,,,"John Wieczorek","2017-08-25"
"dwc:scientificnameauthorship","scientificNameAuthorship","dwc","http://rs.tdwg.org/dwc/terms/scientificNameAuthorship",1,,,"John Wieczorek","2017-08-25"
"dwc:scientificnameid","scientificNameID","dwc","http://rs.tdwg.org/dwc/terms/scientificNameID",1,,,"John Wieczorek","2017-08-25"
"dwc:sex","sex","dwc","http://rs.tdwg.org/dwc/terms/sex",1,,,"John Wieczorek","2017-08-25"
"dwc:specificepithet","specificEpithet","dwc","http://rs.tdwg.org/dwc/terms/specificEpithet",1,,,"John Wieczorek","2017-08-25"
"dwc:startdayofyear","startDayOfYear","dwc","http://rs.tdwg.org/dwc/terms/startDayOfYear",1,,,"John Wieczorek","2017-08-25"
"dwc:stateprovince","stateProvince","dwc","http://rs.tdwg.org/dwc/terms/stateProvince",1,,,"John Wieczorek","2017-08-25"
