"Genus","standardGenus","Family","Order","Class","Phylum","Kingdom","authority","standard","checked","error","resolvelater"
"Aclys","Delma","Pygopodidae","Squamata","Reptilia","Chordata","Animalia","Species 2000 & ITIS Catalogue of Life: May 2012",0,1,"Genus is a synonym.",0
"Acmaea",,,"DIOTOCARDIA","GASTROPODA","MOLLUSCA","Animalia",,0,0,,1
"Acmonorhynchus",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Acmonorhyunchus",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Acnodon","Acnodon","Characidae","Characiformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Acomus",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"ACOMYS","Acomys","Muridae","Rodentia","Mammalia","Chordata","Animalia","ITIS",1,1,,0
"Aconaemys","Aconaemys","Hystricognathi","Rodentia","Mammalia","Chordata","Animalia","ITIS",1,1,,0
"Acontias","Acontias","Scincidae","Squamata","Reptilia","Chordata","Animalia","Species 2000 & ITIS Catalogue of Life: May 2012",1,1,,0
"Acredula",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Acreichthys","Acreichthys","Monacanthidae","Tetraodontiformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Acrididae",,"Acrididae","Orthoptera","Insecta","Arthropoda","Animalia","Species 2000 & ITIS Catalogue of Life: May 2012",0,1,"Genus is a family.",1
"Acridotheres","Acridotheres","Sturnidae","Passeriformes","Aves","Chordata","Animalia","ITIS",1,1,,0
"Acridotheris","Acridotheres","Sturnidae","Passeriformes","Aves","Chordata","Animalia","ITIS",0,1,"Genus misspelled.",0
"Acrilium","Acryllium","Numididae","Galliformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",0,1,"Genus misspelled.",0
"ACRIS","Acris","Hylidae","Anura","Amphibia","Chordata","Animalia","AmphibiaWeb 2014-04-11",1,1,,0
"ACRIS X HYLA",,"Hylidae","Anura","Amphibia","Chordata","Animalia",,0,1,"Genus is a hybrid.",0
"Acritillus","Acritillas","Pycnonotidae","Passeriformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",0,1,"Genus misspelled.",0
"Acritohippus",,"Equidae","Perissodactyla","Mammalia",,"Animalia",,0,0,,1
"Acritoparamys",,"Ischyromyidae","Rodentia","Mammalia",,"Animalia",,0,0,,1
"Acrnonorhynchus",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Acrobates","Acrobates","Petauridae","Diprotodontia","Mammalia","Chordata","Animalia","ITIS",1,1,,0
"Acrocanthosaurus",,"Spinosauridae","Saurischia","Reptilia",,"Animalia",,0,0,,1
"Acrocephala","Acrocephalus","Sylviidae","Passeriformes","Aves","Chordata","Animalia","ITIS",0,1,"Genus misspelled.",0
"Acrocephalus","Acrocephalus","Sylviidae","Passeriformes","Aves","Chordata","Animalia","ITIS",1,1,,0
"Acrocephalus (see 418412)","Acrocephalus","Sylviidae","Passeriformes","Aves","Chordata","Animalia","ITIS",0,1,"Genus misspelled.",0
"Acrocheilus","Acrocheilus","Cyprinidae","Cypriniformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Acrochordopus","Phyllomyias","Tyrannidae","Passeriformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",0,1,"Genus is a synonym.",0
"Acrochordus","Acrochordus","Acrochordidae","Squamata","Reptilia","Chordata","Animalia","ITIS",1,1,,0
"Acrociphaleus",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Acrocyon",,"Borhyaenidae","Marsupialia","Mammalia",,"Animalia",,0,0,,1
"Acrodchordopus",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Acrodelphis",,"Eurhinodelphidae","Cetacea","Mammalia",,"Animalia",,0,0,,1
"Acrodus",,,"HYBODONTID","CHONDRICHTHYAN","Chordata","Animalia",,0,0,,1
"Acrognathus",,"Myctophidae","Myctophiformes","Osteichthyes",,"Animalia",,0,0,,1
"Acrohyaenodon",,"Borhyaenidae","Marsupialia","Mammalia",,"Animalia",,0,0,,1
"Acrolepis",,"Acrolepidae","Palaeonisciformes","Osteichthyes",,"Animalia",,0,0,,1
"Acromycter","Acromycter","Congridae","Anguilliformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Acropoma","Acropoma","Acropomatidae","Perciformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Acropomatidae",,"Acropomatidae","Perciformes","Actinopterygii","Chordata","Animalia",,0,1,"Genus is a family.",0
"Acropora",,,"MADREPORARIA","ANTHOZOA","COELENTERATA","Animalia",,0,0,,1
"Acrops",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Acropternis","Acropternis","Rhinocryptidae","Passeriformes","Aves","Chordata","Animalia","ITIS",1,1,,0
"Acropternyx",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Acrulocercus",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Acryllium","Acryllium","Numididae","Galliformes","Aves","Chordata","Animalia","ITIS",1,1,,0
"Acryllium X Gallus",,,,"Aves","Chordata","Animalia",,0,1,"Genus is a hybrid.",0
"Actaea",,"Xanthidae","BRACHYURA (BRACHYRHYNCHA)","CRUSTACEA","ARTHROPODA","Animalia",,0,0,,1
"Actaeon",,,,"GASTROPODA","MOLLUSCA","Animalia",,0,0,,1
"Actenoides","Actenoides","Alcedinidae","Coraciiformes","Aves","Chordata","Animalia","ITIS",1,1,,0
"Actenomys",,"Octodontidae","Rodentia","Mammalia",,"Animalia",,0,0,,1
"Acthopyga","Aethopyga","Nectariniidae","Passeriformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",0,1,"Genus misspelled.",0
"Actias","Actias","Saturniidae","Lepidoptera","Insecta","Arthropoda","Animalia","The Catalogue of Life, 3rd January 2011",1,1,,1
"Actindura","Actinodura","Sylviidae","Passeriformes","Aves","Chordata","Animalia","ITIS",0,1,"Genus misspelled.",0
"Actinemys","Actinemys","Emydidae","Testudines","Reptilia","Chordata","Animalia","ITIS",1,1,,0
"Actinia",,,"ACTINIARIA","ANTHOZOA","COELENTERATA","Animalia",,0,0,,1
"Actiniaria",,,"ACTINIARIA","ANTHOZOA","COELENTERATA","Animalia",,0,0,,1
"Actinioides",,,"ACTINIARIA","ANTHOZOA","COELENTERATA","Animalia",,0,0,,1
"Actinodendron",,,"ACTINIARIA","ANTHOZOA","COELENTERATA","Animalia",,0,0,,1
"Actinodon",,"ARCHEGOSAURIFORM","STEREOSPONDYL",,,"Animalia",,0,0,,1
"Actinodura","Actinodura","Sylviidae","Passeriformes","Aves","Chordata","Animalia","ITIS",1,1,,0
"Actinolepis",,"Actinolepidae","Arthrodira","Placodermi",,"Animalia",,0,0,,1
"Actinoloba",,,"ACTINIARIA","ANTHOZOA","COELENTERATA","Animalia",,0,0,,1
"Actinometra",,,,"CRINOIDEA","ECHINODERMATA","Animalia",,0,0,,1
"Actinopterygii",,,,"Actinopterygii","Chordata","Animalia","Species 2000 & ITIS Catalogue of Life: May 2012",0,1,"Genus is a class.",0
"Actinopyga",,,,"HOLOTHUROIDEA","ECHINODERMATA","Animalia",,0,0,,1
"Actinostola",,,"ACTINIARIA","ANTHOZOA","COELENTERATA","Animalia",,0,0,,1
"Actites","Actitis","Scolopacidae","Charadriiformes","Aves","Chordata","Animalia","ITIS",0,1,"Genus misspelled.",0
"Actitis","Actitis","Scolopacidae","Charadriiformes","Aves","Chordata","Animalia","ITIS",1,1,,0
"Actitus","Actitis","Scolopacidae","Charadriiformes","Aves","Chordata","Animalia","ITIS",0,1,"Genus misspelled.",0
"Actodromas","Calidris","Scolopacidae","Charadriiformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",0,1,"Genus is a synonym.",0
"Actophilornis","Actophilornis","Jacanidae","Charadriiformes","Aves","Chordata","Animalia","ITIS",1,1,,0
"Actophilus",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Actumnus",,"Xanthidae","BRACHYURA (BRACHYRHYNCHA)","CRUSTACEA","ARTHROPODA","Animalia",,0,0,,1
"Acudorsum",,,,"ARACHNIDA","ARTHROPODA","Animalia",,0,0,,1
"Acyiornis",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Acyrtops","Acyrtops","Gobiesocidae","Perciformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Acyrtus","Acyrtus","Gobiesocidae","Perciformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Adacna",,,,"BIVALVIA","MOLLUSCA","Animalia",,0,0,,1
"Adamaster","Procellaria","Procellariidae","Procellariiformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",0,1,"Genus is a synonym.",0
"Adamastor","Procellaria","Procellariidae","Procellariiformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",0,1,"Genus is a synonym.",0
"Adamietta",,"MELANIIDAE","MONOTOCARDIA","GASTROPODA","MOLLUSCA","Animalia",,0,0,,1
"Adamsia",,,"ACTINIARIA","ANTHOZOA","COELENTERATA","Animalia",,0,0,,1
"Adapidium",,"Esthonychidae","Tillodonta","Mammalia",,"Animalia",,0,0,,1
"Adapis",,"ADAPIDAE","Primates","Mammalia","Chordata","Animalia",,0,0,,1
"Adapisorex",,"Adapisoricidae","Insectivora","Mammalia",,"Animalia",,0,0,,1
"Adapisoricinae",,"Adapisoricidae","Insectivora","Mammalia",,"Animalia",,0,0,,1
"ADDAX","Addax","Bovidae","Artiodactyla","Mammalia","Chordata","Animalia","ITIS",1,1,,0
"Adeloblarina",,"Soricidae","Lipotyphla","Mammalia",,"Animalia",,0,0,,1
"Adelomyia","Adelomyia","Trochilidae","Apodiformes","Aves","Chordata","Animalia","ITIS",1,1,,0
"Adelophis","Adelophis","Colubridae","Squamata","Reptilia","Chordata","Animalia","ITIS",1,1,,0
"Adelophryne","Adelophryne","Eleutherodactylidae","Anura","Amphibia","Chordata","Animalia","AmphibiaWeb 2014-04-11",1,1,,0
"Adelotus","Adelotus","Myobatrachidae","Anura","Amphibia","Chordata","Animalia","AmphibiaWeb 2014-04-11",1,1,,0
"ADELPHICOS","Adelphicos","Colubridae","Squamata","Reptilia","Chordata","Animalia","ITIS",1,1,,0
"Adelura",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Adenomera","Adenomera","Leptodactylidae","Anura","Amphibia","Chordata","Animalia","AmphibiaWeb 2014-04-11",1,1,,0
"Adenomus","Adenomus","Bufonidae","Anura","Amphibia","Chordata","Animalia","AmphibiaWeb 2014-04-11",1,1,,0
"Adeona",,"MICROPORELLIDAE","CHEILOSTOMATA","ECTOPROCTA","POLYZOA","Animalia",,0,0,,1
"Adeonella",,"MICROPORELLIDAE","CHEILOSTOMATA","ECTOPROCTA","POLYZOA","Animalia",,0,0,,1
"ADINIA","Adinia","Fundulidae","Cyprinodontiformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Adinotherium",,"TOXODONTIDAE","Notoungulata","Mammalia","Chordata","Animalia",,0,0,,1
"Adioryx",,"Holocentridae","Beryciformes","Actinopterygii","Chordata","Animalia","Froese, R. and D. Pauly. Editors. 2012. FishBase.",0,1,"Genus split.",0
"Adjidaumo",,"EOMYIDAE",,"Mammalia","Chordata","Animalia",,0,0,,1
"Adjiduamo",,"Eomyidae","Rodentia","Mammalia",,"Animalia",,0,0,,1
"Adocus",,"Adocidae","Testudines","Reptilia",,"Animalia",,0,0,,1
"ADOLFUS","Adolfus","Lacertidae","Squamata","Reptilia","Chordata","Animalia","Species 2000 & ITIS Catalogue of Life: May 2012",1,1,,0
"Adontophorus","Odontophorus","Odontophoridae","Galliformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",0,1,"Genus misspelled.",0
"Adontosternarchus","Adontosternarchus","Apteronotidae","Gymnotiformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Adrea",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Adrias","Andrias","Cryptobranchidae","Caudata","Amphibia","Chordata","Animalia","Species 2000 & ITIS Catalogue of Life: April 2013",0,1,"Genus misspelled.",0
"Adunator",,"Leptictidae","Leptictida","Mammalia",,"Animalia",,0,0,,1
"Aechmolophus","Xenotriccus","Tyrannidae","Passeriformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",0,1,"Genus is a synonym.",0
"Aechmophorus","Aechmophorus","Podicipedidae","Podicipediformes","Aves","Chordata","Animalia","ITIS",1,1,,0
"Aechmorhynchus","Aechmorhynchus","Scolopacidae","Charadriiformes","Aves","Chordata","Animalia","ITIS",1,1,,0
"Aechmorphorus","Aechmophorus","Podicipedidae","Podicipediformes","Aves","Chordata","Animalia","ITIS",0,1,"Genus misspelled.",0
"Aecurvirostra","Recurvirostra","Recurvirostridae","Charadriiformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",0,1,"Genus misspelled.",0
"Aedemosyme",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Aedemosyna",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Aedienemus",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Aedon",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Aedonopsis",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Aega",,,,"CRUSTACEA; MALACOSTRACA","ARTHROPODA","Animalia",,0,0,,1
"Aegealites","Charadrius","Charadriidae","Charadriiformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",0,1,"Genus is a misspelled synonym.",0
"Aegelaius","Charadrius","Charadriidae","Charadriiformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",0,1,"Genus is a misspelled synonym.",0
"Aegeon",,,"MACRURA (CARIDEA)","CRUSTACEA","ARTHROPODA","Animalia",,0,0,,1
"Aegiahtis","Charadrius","Charadriidae","Charadriiformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",0,1,"Genus is a misspelled synonym.",0
"Aegialetis","Charadrius","Charadriidae","Charadriiformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",0,1,"Genus is a misspelled synonym.",0
"Aegialistis","Charadrius","Charadriidae","Charadriiformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",0,1,"Genus is a misspelled synonym.",0
"Aegialites","Charadrius","Charadriidae","Charadriiformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",0,1,"Genus is a misspelled synonym.",0
"Aegialitis","Charadrius","Charadriidae","Charadriiformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",0,1,"Genus is a synonym.",0
"Aègialitis","Charadrius","Charadriidae","Charadriiformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",0,1,"Genus is a misspelled synonym.",0
"Aegiatitis","Charadrius","Charadriidae","Charadriiformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",0,1,"Genus is a misspelled synonym.",0
"Aegiatitus","Charadrius","Charadriidae","Charadriiformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",0,1,"Genus is a misspelled synonym.",0
"Aegicephalichthys",,,,"BASAL ACTINOPTERYGIAN",,"Animalia",,0,0,,1
"Aegina",,,"CAPRELLIDA","CRUSTACEA; MALACOSTRACA","ARTHROPODA","Animalia",,0,0,,1
"Aegintha","Aegithina","Aegithinidae","Passeriformes","Aves","Chordata","Animalia","ITIS",0,1,"Genus misspelled.",0
"Aegiolites","Charadrius","Charadriidae","Charadriiformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",0,1,"Genus is a misspelled synonym.",0
"Aegiothus","Aegithalos","Aegithalidae","Passeriformes","Aves","Chordata","Animalia","ITIS",0,1,"Genus misspelled.",0
"Aegithalas","Aegithalos","Aegithalidae","Passeriformes","Aves","Chordata","Animalia","ITIS",0,1,"Genus misspelled.",0
"Aegithalinus","Aegithalos","Aegithalidae","Passeriformes","Aves","Chordata","Animalia","ITIS",0,1,"Genus misspelled.",0
"Aegithaliscus","Aegithina","Aegithinidae","Passeriformes","Aves","Chordata","Animalia","ITIS",0,1,"Genus misspelled.",0
"Aegithaliseus","Aegithalos","Aegithalidae","Passeriformes","Aves","Chordata","Animalia","ITIS",0,1,"Genus misspelled.",0
"Aegithalos","Aegithalos","Aegithalidae","Passeriformes","Aves","Chordata","Animalia","ITIS",1,1,,0
"Aegithalus","Aegithalos","Aegithalidae","Passeriformes","Aves","Chordata","Animalia","ITIS",0,1,"Genus misspelled.",0
"Aegithina","Aegithina","Aegithinidae","Passeriformes","Aves","Chordata","Animalia","ITIS",1,1,,0
"Aegithinia","Aegithina","Aegithinidae","Passeriformes","Aves","Chordata","Animalia","ITIS",0,1,"Genus misspelled.",0
"Aegithospiza","Parus","Paridae","Passeriformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",0,1,"Genus is a synonym.",0
"Aegittrina",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Aegolius","Aegolius","Strigidae","Strigiformes","Aves","Chordata","Animalia","ITIS",1,1,,0
"Aegollus","Aegolius","Strigidae","Strigiformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",0,1,"Genus misspelled.",0
"Aegopinella",,"ZONITIDAE",,"GASTROPODA","MOLLUSCA","Animalia",,0,0,,1
"Aegothcles","Aegotheles","Aegothelidae","Strigiformes","Aves","Chordata","Animalia","ITIS",0,1,"Genus misspelled.",0
"Aegothelas","Aegotheles","Aegothelidae","Strigiformes","Aves","Chordata","Animalia","ITIS",0,1,"Genus misspelled.",0
"Aegotheles","Aegotheles","Aegothelidae","Strigiformes","Aves","Chordata","Animalia","ITIS",1,1,,0
"Aegothetes","Aegotheles","Aegothelidae","Strigiformes","Aves","Chordata","Animalia","ITIS",0,1,"Genus misspelled.",0
"Aegralitis",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Aegthaliscus",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Aegypius","Aegypius","Accipitridae","Accipitriformes","Aves","Chordata","Animalia","ITIS",1,1,,0
"Aegyptopithecus",,"Propliopithecidae","Primates","Mammalia",,"Animalia",,0,0,,1
"Aegythina","Aegithina","Aegithinidae","Passeriformes","Aves","Chordata","Animalia","ITIS",0,1,"Genus misspelled.",0
"Aelurocyon",,"Ursidae","Carnivora","Mammalia",,"Animalia",,0,0,,1
"Aelurodon","Aelurodon","Canidae","Carnivora","Mammalia","Chordata","Animalia","Paleobiology Database",1,1,,0
"Aeluronyx","Ailuronyx","Gekkonidae","Squamata","Reptilia","Chordata","Animalia","Species 2000 & ITIS Catalogue of Life: Apr 2013",0,1,"Genus misspelled.",0
"Aeluropa",,,,"ARACHNIDA","ARTHROPODA","Animalia",,0,0,,1
"Aeluropus",,"URSIDAE","Carnivora","Mammalia","Chordata","Animalia",,0,0,,1
"AELUROSCALABOTES","Aeluroscalabotes","Eublepharidae","Squamata","Reptilia","Chordata","Animalia","ITIS",1,1,,0
"Aenaria [illeg.]",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Aenigmasaurus",,,,"BASAL AMNIOTE",,"Animalia",,0,0,,1
"Aenigmatolimnas","Aenigmatolimnas","Rallidae","Gruiformes","Aves","Chordata","Animalia","ITIS",1,1,,0
"Aenocyon",,"Procyonidae","Carnivora","Mammalia",,"Animalia",,0,0,,1
"Aeolis",,,,"GASTROPODA","MOLLUSCA","Animalia",,0,0,,1
"Aeoliscus","Aeoliscus","Centriscidae","Gasterosteiformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Aepeomys","Aepeomys","Cricetidae","Rodentia","Mammalia","Chordata","Animalia","Mammal Species of the World. 2005.",1,1,,0
"Aepinacodon",,"Anthracotheriidae","Artiodactyla","Mammalia",,"Animalia",,0,0,,1
"Aepinus",,"Hymenosomidae","BRACHYURA (OXYRHYNCHA)","CRUSTACEA","ARTHROPODA","Animalia",,0,0,,1
"Aepycamelus",,"Camelidae","Artiodactyla","Mammalia",,"Animalia",,0,0,,1
"Aepyceros","Aepyceros","Bovidae","Artiodactyla","Mammalia","Chordata","Animalia","ITIS",1,1,,0
"Aepyornis","Aepyornis","Aepyornithidae","Struthioniformes","Aves","Chordata","Animalia","Paleobiology Database",1,1,,0
"Aepypodius","Aepypodius","Megapodiidae","Craciformes","Aves","Chordata","Animalia","ITIS",1,1,,0
"AEPYPRYMNUS","Aepyprymnus","Potoroidae","Diprotodontia","Mammalia","Chordata","Animalia","ITIS",1,1,,0
"Aepypypodius","Aepypodius","Megapodiidae","Craciformes","Aves","Chordata","Animalia","ITIS",0,1,"Genus misspelled.",0
"Aepyrymnus","Aepyprymnus","Potoroidae","Diprotodontia","Mammalia","Chordata","Animalia","Species 2000 & ITIS Catalogue of Life: May 2012",0,1,"Genus misspelled.",0
"Aeqittaliscus",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Aequidens","Aequidens","Cichlidae","Perciformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Aequideus",,"Cichlidae","Perciformes","Osteichthyes",,"Animalia",,0,0,,1
"Aequorea",,"AEQUOREIDAE","LEPTOMEDUSAE","HYDROZOA","COELENTERATA","Animalia",,0,0,,1
"Aeretes","Aeretes","Sciuridae","Rodentia","Mammalia","Chordata","Animalia","ITIS",1,1,,0
"Aeridotheres","Acridotheres","Sturnidae","Passeriformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",0,1,"Genus misspelled.",0
"Aerocephalus","Acrocephalus","Sylviidae","Passeriformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",0,1,"Genus misspelled.",0
"Aerocharis",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Aerodramus","Aerodramus","Apodidae","Apodiformes","Aves","Chordata","Animalia","ITIS",1,1,,0
"Aeromys",,"Sciuridae","Rodentia","Mammalia",,"Animalia",,0,0,,1
"Aeronautes","Aeronautes","Apodidae","Apodiformes","Aves","Chordata","Animalia","ITIS",1,1,,0
"Aëronautes","Aeronautes","Apodidae","Apodiformes","Aves","Chordata","Animalia","ITIS",0,1,"Genus misspelled.",0
"Aeronaytes","Aeronautes","Apodidae","Apodiformes","Aves","Chordata","Animalia","ITIS",0,1,"Genus misspelled.",0
"Aerops","Merops","Meropidae","Coraciiformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",0,1,"Genus misspelled.",0
"Aeropternis","Acropternis","Rhinocryptidae","Passeriformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",0,1,"Genus misspelled.",0
"Aerornis",,"Apodidae","Apodiformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",0,1,"Genus is a synonym for Streptoprocne or Cypseloides.",0
"Aerosaurus",,,,"BASAL SYNAPSID",,"Animalia",,0,0,,1
"Aesopia","Aesopia","Soleidae","Pleuronectiformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Aestralata",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Aestrelata","Pterodroma","Procellariidae","Procellariiformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",0,1,"Genus is a synonym.",0
