"verbatimGeodeticDatum","standardGeodeticDatum","epsg","checked","opinionBy","opinionDate","uri"
"-101.8375960000","not recorded",,1,"John Wieczorek","2020-05-12",
"-101.8394400000","not recorded",,1,"John Wieczorek","2020-05-12",
"-101.8540330000","not recorded",,1,"John Wieczorek","2020-05-12",
"-101.8595660000","not recorded",,1,"John Wieczorek","2020-05-12",
"-101.8709700000","not recorded",,1,"John Wieczorek","2020-05-12",
"-101.9215670000","not recorded",,1,"John Wieczorek","2020-05-12",
"-101.9285820000","not recorded",,1,"John Wieczorek","2020-05-12",
"-101.9569090000","not recorded",,1,"John Wieczorek","2020-05-12",
"-101.9747200000","not recorded",,1,"John Wieczorek","2020-05-12",
"-101.9828190000","not recorded",,1,"John Wieczorek","2020-05-12",
"1014","not recorded",,1,"John Wieczorek","2020-04-24",
"102","not recorded",,1,"John Wieczorek","2020-04-24",
"-102.0271740000","not recorded",,1,"John Wieczorek","2020-05-12",
"-102.0355600000","not recorded",,1,"John Wieczorek","2020-05-12",
"-102.0777510000","not recorded",,1,"John Wieczorek","2020-05-12",
"-102.0805900000","not recorded",,1,"John Wieczorek","2020-05-12",
"-102.0843660000","not recorded",,1,"John Wieczorek","2020-05-12",
"-102.0942740000","not recorded",,1,"John Wieczorek","2020-05-12",
"-102.0995520000","not recorded",,1,"John Wieczorek","2020-05-12",
"-102.2398800000","not recorded",,1,"John Wieczorek","2020-05-12",
"-102.2573200000","not recorded",,1,"John Wieczorek","2020-05-12",
"-102.2744390000","not recorded",,1,"John Wieczorek","2020-05-12",
"-102.3437030000","not recorded",,1,"John Wieczorek","2020-05-12",
"-102.4434380000","not recorded",,1,"John Wieczorek","2020-05-12",
"-102.5381470000","not recorded",,1,"John Wieczorek","2020-05-12",
"-102.5454390000","not recorded",,1,"John Wieczorek","2020-05-12",
"-102.6192010000","not recorded",,1,"John Wieczorek","2020-05-12",
"-102.6350560000","not recorded",,1,"John Wieczorek","2020-05-12",
"-102.6953890000","not recorded",,1,"John Wieczorek","2020-05-12",
"-102.7441410000","not recorded",,1,"John Wieczorek","2020-05-12",
"102.814778","not recorded",,1,"John Wieczorek","2020-04-24",
"-102.9840110000","not recorded",,1,"John Wieczorek","2020-05-12",
"-103.0682370000","not recorded",,1,"John Wieczorek","2020-05-12",
"-103.0915330000","not recorded",,1,"John Wieczorek","2020-05-12",
"-103.0982890000","not recorded",,1,"John Wieczorek","2020-05-12",
"-103.3391700000","not recorded",,1,"John Wieczorek","2020-05-12",
"-103.5715270000","not recorded",,1,"John Wieczorek","2020-05-12",
"-103.6605600000","not recorded",,1,"John Wieczorek","2020-05-12",
"-103.7472600000","not recorded",,1,"John Wieczorek","2020-05-12",
"-103.7795220000","not recorded",,1,"John Wieczorek","2020-05-12",
"-103.7850550000","not recorded",,1,"John Wieczorek","2020-05-12",
"-103.8638720000","not recorded",,1,"John Wieczorek","2020-05-12",
"-103.8866810000","not recorded",,1,"John Wieczorek","2020-05-12",
"-103.8907690000","not recorded",,1,"John Wieczorek","2020-05-12",
"-103.8941700000","not recorded",,1,"John Wieczorek","2020-05-12",
"-103.9180360000","not recorded",,1,"John Wieczorek","2020-05-12",
"-103.9259940000","not recorded",,1,"John Wieczorek","2020-05-12",
"-103.9278910000","not recorded",,1,"John Wieczorek","2020-05-12",
"-103.9389290000","not recorded",,1,"John Wieczorek","2020-05-12",
"-103.9509890000","not recorded",,1,"John Wieczorek","2020-05-12",
"-103.9619650000","not recorded",,1,"John Wieczorek","2020-05-12",
"-103.9667830000","not recorded",,1,"John Wieczorek","2020-05-12",
"-103.9803760000","not recorded",,1,"John Wieczorek","2020-05-12",
"-103.9899460000","not recorded",,1,"John Wieczorek","2020-05-12",
"-103.9982360000","not recorded",,1,"John Wieczorek","2020-05-12",
"1037","not recorded",,1,"John Wieczorek","2020-04-24",
"-104.0029510000","not recorded",,1,"John Wieczorek","2020-05-12",
"-104.0448970000","not recorded",,1,"John Wieczorek","2020-05-12",
"-104.0638540000","not recorded",,1,"John Wieczorek","2020-05-12",
"-104.0680090000","not recorded",,1,"John Wieczorek","2020-05-12",
"-104.0719910000","not recorded",,1,"John Wieczorek","2020-05-12",
"-104.1729790000","not recorded",,1,"John Wieczorek","2020-05-12",
"-104.2181060000","not recorded",,1,"John Wieczorek","2020-05-12",
