"verbatimTypeStatus","standardTypeStatus","uri","checked","opinionBy","opinionDate"
"HOLOTYPE OF AMEIVA AUBERI MULTILINEATA, MCCOY, 1970, ANN. CARNEGIE MUS., 41:132","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF AMEIVA AUBERI OBSOLETA, MCCOY, 1970, ANN. CARNEGIE MUS., 41:139","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF AMEIVA AUBERI PARVINSULAE, LEE AND SCHWARTZ, 1985, ANN. CARN. MUS. 54(2):17.","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF AMEIVA AUBERI RICHMONDI, MCCOY, 1970, ANN. CARNEGIE MUS., 41:134","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF AMEIVA AUBERI SIDEROXYLON, LEE AND SCHWARTZ, 1985, ANN. CARN. MUS. 54(2):12.","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF AMEIVA AUBERI VULTURNUS, LEE AND SCHWARTZ, 1985, ANN. CARN. MUS. 54(2):15","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF AMEIVA BIFRONTATA CONCOLOR","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF AMEIVA BIRDORUM","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF AMEIVA CHAITZAMI","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF AMEIVA WETMOREI ELEANORAE","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Ammospermophilus leucurus peninsulae","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Ammospermophilus leucurus peninsulae ((Allen))","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF AMMOSPIZA CAUDACUTA ALTERA, TODD, W. E. C. 1938. TWO NEW RACES OF NORTH AMERICAN BIRDS. AUK, 116-118. PAGE 117, PUBLISHED JANUARY 1938.","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF AMOLOPS NEPALICUS","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF AMPHIGLOSSUS ANOSYENSIS","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF AMPHIGLOSSUS MANDOKAVA","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF AMPHIGLOSSUS MINUTUS","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF AMPHIGLOSSUS PUNCTATUS","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF AMPHISBAENA MINUTA, HULSE AND MCCOY, 1979, ANN. CARNEGIE MUS., 48:2","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF AMPHISBAENA STEJNEGERI","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF AMYDA SPINIFERA HARTWEGI","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF ANADIA ALTASERRANIA","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF ANADIA PULCHELLA","holotype",,1,"John Wieczorek","2017-08-25"
